FillerNo,Sentence
37,"The exciting match was won by the visiting team, to our surprise."
38,"The car accident resulted in the driver's death, despite best efforts."
39,Electric vehicles are not a part of the company's vision.
40,"When we finally sat down, we had railings at eye level."
41,"An annoyed builder was plastering the walls, but would rather lay the tiles."
42,Beard lovers will definitely not be bored while watching The Hobbit.
43,Elderly drinkers drank all available beer and turned their attention to the wine.
44,A rich neighbour bought another car last week.
45,A company accountant lost her position due to fraud.
46,Our mother wouldn't have done so much work if she didn't have to for survival.
47,Tired researchers filled a scientific article with a lot of nonsense and banality.
48,Visitors to the rock festival were satisfied with the cleanliness of the grounds.
49,An experienced craftsman provided a lot of work for a small amount.
50,The World Cup would be attended by more spectators if tickets weren't expensive.
51,The sight of an orangutan unprecedentedly frightened the zoo worker.
52,"Losing your wallet is sad, especially if you have a thousand dollars in it."
53,Those who want to attend the school mountain trip must bring their parents' permission.
54,The chess player fought cancer and only overcame it for a short time.
55,The cook was cold when she left home in the morning.
56,"Although she often saw and spoke to famous people, her knees were shaking."
57,The observant salesman recently met a new neighbour for the first time.
58,Neighbours had the opportunity to compete in competitions taking part in the streets.
59,The foresters from Vermont have never visited a museum before.
60,The sentors are now debating bills important to ban smoking.
61,The team that wants to play in the tournament needs to pay the fee.
62,The hunter was looking for his ID in the front pocket.
63,The firefighters responded to the fire on Wednesday evening.
64,An angry father was carrying both his daughter and his shopping.
65,The researchers agreed that the disputes between them were not negligible.
66,A new film with Leonard DiCaprio is hitting the cinemas.
67,The popular British singer Adele visited Prague.
68,The dancer ended her career due to health problems.
69,The police have captured a long-wanted criminal.
70,The state has increased the salaries of civil servants.
71,Firefighters were unable to put out the fire quickly.
72,Simon took his friend's sister to the party.
73,A mother with a crying boy finally got to the doctor's office.
74,The thoughtless visitor placed a greasy lid on the brown tablecloth.
75,The blonde cook filled up an expensive glass with her favorite spices.
76,An inexperienced pharmacist brought a modern thermometer into the spacious office.
77,The irritated girl stuffed outdated clothes into a beige closet.
78,The industrious part-time worker placed the heavy books on a narrow shelf.
79,The sophisticated thief slipped a thin knife into the elongated gap.
80,The lively assistant planted a small flower in a colored box.
81,The conscientious cleaning lady placed a purple scarf on a feather pillow.
82,The panting farmer pulled the black box into the dusty shed.
83,The tired chemist poured the rusty solution into a clean sink.
84,A muscular waiter mixed the tasty cider with cheap mineral water.
85,A smiling salesman wrapped a glossy mug in light paper.
86,The cheerful designer moved the massive sculpture into a granite niche.
87,The frightened businessman hid the titanium ring in a glittering vault.
88,The resourceful confectioner threw delicious raisins into the flavored dough.
89,The pensive journalist put the red phone on the new shelf.
90,The sullen bartender mixed a rare herb into a green cocktail.
91,The dreamy poet hung a gray vest on an old coat-hanger.
92,Propane-butane bottles exploded on a truck while driving
93,The product did not have sufficient certification for the European market.
94,The French Revolution marked a turning point in world history.
95,The convoy of vehicles stopped due to a road accident.
96,Sherry is a dessert wine originating in Spain.
