item,Group,condition,head_number,attractor_number,grammaticality,sentence
1,A,a,singular,singular,grammatical,The slogan on the poster unsurprisingly was designed to get attention.
1,B,b,singular,plural,grammatical,The slogan on the posters unsurprisingly was designed to get attention.
1,C,c,singular,singular,ungrammatical,The slogan on the poster unsurprisingly were designed to get attention.
1,D,d,singular,plural,ungrammatical,The slogan on the posters unsurprisingly were designed to get attention.
1,E,e,plural,singular,grammatical,The slogans on the poster unsurprisingly were designed to get attention.
1,F,f,plural,plural,grammatical,The slogans on the posters unsurprisingly were designed to get attention.
1,G,g,plural,singular,ungrammatical,The slogans on the poster unsurprisingly was designed to get attention.
1,H,h,plural,plural,ungrammatical,The slogans on the posters unsurprisingly was designed to get attention.
2,H,a,singular,singular,grammatical,The picture on the flier definitely was of a village in France.
2,A,b,singular,plural,grammatical,The picture on the fliers definitely was of a village in France.
2,B,c,singular,singular,ungrammatical,The picture on the flier definitely were of a village in France.
2,C,d,singular,plural,ungrammatical,The picture on the fliers definitely were of a village in France.
2,D,e,plural,singular,grammatical,The pictures on the flier definitely were of a village in France.
2,E,f,plural,plural,grammatical,The pictures on the fliers definitely were of a village in France.
2,F,g,plural,singular,ungrammatical,The pictures on the flier definitely was of a village in France.
2,G,h,plural,plural,ungrammatical,The pictures on the fliers definitely was of a village in France.
3,G,a,singular,singular,grammatical,The mistake in the program certainly was disastrous for the software company.
3,H,b,singular,plural,grammatical,The mistake in the programs certainly was disastrous for the software company.
3,A,c,singular,singular,ungrammatical,The mistake in the program certainly were disastrous for the software company.
3,B,d,singular,plural,ungrammatical,The mistake in the programs certainly were disastrous for the software company.
3,C,e,plural,singular,grammatical,The mistakes in the program certainly were disastrous for the software company.
3,D,f,plural,plural,grammatical,The mistakes in the programs certainly were disastrous for the software company.
3,E,g,plural,singular,ungrammatical,The mistakes in the program certainly was disastrous for the software company.
3,F,h,plural,plural,ungrammatical,The mistakes in the programs certainly was disastrous for the software company.
4,F,a,singular,singular,grammatical,The label on the container probably was a warning about the chemicals inside.
4,G,b,singular,plural,grammatical,The label on the containers probably was a warning about the chemicals inside.
4,H,c,singular,singular,ungrammatical,The label on the container probably were a warning about the chemicals inside.
4,A,d,singular,plural,ungrammatical,The label on the containers probably were a warning about the chemicals inside.
4,B,e,plural,singular,grammatical,The labels on the container probably were a warning about the chemicals inside.
4,C,f,plural,plural,grammatical,The labels on the containers probably were a warning about the chemicals inside.
4,D,g,plural,singular,ungrammatical,The labels on the container probably was a warning about the chemicals inside.
4,E,h,plural,plural,ungrammatical,The labels on the containers probably was a warning about the chemicals inside.
5,E,a,singular,singular,grammatical,The problem in the store ultimately was solved by firing the custodian.
5,F,b,singular,plural,grammatical,The problem in the stores ultimately was solved by firing the custodian.
5,G,c,singular,singular,ungrammatical,The problem in the store ultimately were solved by firing the custodian.
5,H,d,singular,plural,ungrammatical,The problem in the stores ultimately were solved by firing the custodian.
5,A,e,plural,singular,grammatical,The problems in the store ultimately were solved by firing the custodian.
5,B,f,plural,plural,grammatical,The problems in the stores ultimately were solved by firing the custodian.
5,C,g,plural,singular,ungrammatical,The problems in the store ultimately was solved by firing the custodian.
5,D,h,plural,plural,ungrammatical,The problems in the stores ultimately was solved by firing the custodian.
6,D,a,singular,singular,grammatical,The name on the billboard probably was of a prominent local businessman.
6,E,b,singular,plural,grammatical,The name on the billboards probably was of a prominent local businessman.
6,F,c,singular,singular,ungrammatical,The name on the billboard probably were of a prominent local businessman.
6,G,d,singular,plural,ungrammatical,The name on the billboards probably were of a prominent local businessman.
6,H,e,plural,singular,grammatical,The names on the billboard probably were of a prominent local businessman.
6,A,f,plural,plural,grammatical,The names on the billboards probably were of a prominent local businessman.
6,B,g,plural,singular,ungrammatical,The names on the billboard probably was of a prominent local businessman.
6,C,h,plural,plural,ungrammatical,The names on the billboards probably was of a prominent local businessman.
7,C,a,singular,singular,grammatical,The crime in the suburb doubtlessly was a reflection of violence in society.
7,D,b,singular,plural,grammatical,The crime in the suburbs doubtlessly was a reflection of violence in society.
7,E,c,singular,singular,ungrammatical,The crime in the suburb doubtlessly were a reflection of violence in society.
7,F,d,singular,plural,ungrammatical,The crime in the suburbs doubtlessly were a reflection of violence in society.
7,G,e,plural,singular,grammatical,The crimes in the suburb doubtlessly were a reflection of violence in society.
7,H,f,plural,plural,grammatical,The crimes in the suburbs doubtlessly were a reflection of violence in society.
7,A,g,plural,singular,ungrammatical,The crimes in the suburb doubtlessly was a reflection of violence in society.
7,B,h,plural,plural,ungrammatical,The crimes in the suburbs doubtlessly was a reflection of violence in society.
8,B,a,singular,singular,grammatical,The defect in the appliance likely was unknown to consumers and regulators.
8,C,b,singular,plural,grammatical,The defect in the appliances likely was unknown to consumers and regulators.
8,D,c,singular,singular,ungrammatical,The defect in the appliance likely were unknown to consumers and regulators.
8,E,d,singular,plural,ungrammatical,The defect in the appliances likely were unknown to consumers and regulators.
8,F,e,plural,singular,grammatical,The defects in the appliance likely were unknown to consumers and regulators.
8,G,f,plural,plural,grammatical,The defects in the appliances likely were unknown to consumers and regulators.
8,H,g,plural,singular,ungrammatical,The defects in the appliance likely was unknown to consumers and regulators.
8,A,h,plural,plural,ungrammatical,The defects in the appliances likely was unknown to consumers and regulators.
9,A,a,singular,singular,grammatical,The citation on the notecard unfortunately was difficult to track with limited resources.
9,B,b,singular,plural,grammatical,The citation on the notecards unfortunately was difficult to track with limited resources.
9,C,c,singular,singular,ungrammatical,The citation on the notecard unfortunately were difficult to track with limited resources.
9,D,d,singular,plural,ungrammatical,The citation on the notecards unfortunately were difficult to track with limited resources.
9,E,e,plural,singular,grammatical,The citations on the notecard unfortunately were difficult to track with limited resources.
9,F,f,plural,plural,grammatical,The citations on the notecards unfortunately were difficult to track with limited resources.
9,G,g,plural,singular,ungrammatical,The citations on the notecard unfortunately was difficult to track with limited resources.
9,H,h,plural,plural,ungrammatical,The citations on the notecards unfortunately was difficult to track with limited resources.
10,H,a,singular,singular,grammatical,The advertisement on the skyscraper typically was hard to read up close.
10,A,b,singular,plural,grammatical,The advertisement on the skyscrapers typically was hard to read up close.
10,B,c,singular,singular,ungrammatical,The advertisement on the skyscraper typically were hard to read up close.
10,C,d,singular,plural,ungrammatical,The advertisement on the skyscrapers typically were hard to read up close.
10,D,e,plural,singular,grammatical,The advertisements on the skyscraper typically were hard to read up close.
10,E,f,plural,plural,grammatical,The advertisements on the skyscrapers typically were hard to read up close.
